"ID","biorxiv","published","title","year","journal","doi","author","author_name","author_email","author_address","hypothesis","rationale","MR_design","outcome","outcome_info","outcome_group","outcome_definition","outcome_study","outcome_age_range","outcome_sex","outcome_n_case_current","outcome_n_control_current","outcome_n_case_og","outcome_n_control_og","outcome_n_difference_reason","outcome_health_status","outcome_population","exposure","exposure_definition","exposure_study","exposure_age","exposure_sex","exposure_n_current","exposure_n_og","exposure_n_difference_reason","exposure_health_status","exposure_population","exposure_covariates_model","exposure_genotyping_dataset","exposure_independence","exposure_pleiotropy","exposure_pvalue","exposure_palindrome","exposure_proxy","exposure_HWE","IV_single","IV_multiple","IV_GRS","n_SNP_og","n_SNP_difference_reason","power_calculation","power_calculation_how","MR_method","MR_sensitivity_method1","MR_sensitivity_method2","MR_sensitivity_method3","MR_sensitivity_method4","MR_sensitivity_method5","MR_sensitivity_method_results","IV_strength","analysis_software","analysis_programme","replication_independent","replication_subsetting","multiple_testing","exposure_units","outcome_units","effect_estimate","estimate","se","ci_percent","ci_lower","ci_upper","p","adjustment_method","p_adjusted","limitations_overall","limitations_pleiotropy","limitations_population_stratification","limitations_statistical_power","notes","ID_analysis"
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European both","18+","both","7110","7264","7110","7264",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"95","77","Said they used European SNPs but clearly using all ancestry SNPs - though 1 is missing which isn't discussed","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Variance explaine from GWAS presented, 2.7%","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","case/control","OR","1.34",NA,"95","1.0900000000000001","1.65","6.6000000000000003E-2",NA,NA,"Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,162
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European, PanScan I both","18+","both","1788","1769","1788","1769",NA,"case/control","European, PanScan I","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"95","77","Said they used European SNPs but clearly using all ancestry SNPs - though 1 is missing which isn't discussed","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Variance explaine from GWAS presented, 2.7%","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","case/control","OR","1.48",NA,"95","0.98","2.2400000000000002","0.06",NA,NA,"Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,163
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European, PanScan II both","18+","both","1696","1563","1696","1563",NA,"case/control","European, PanScan II","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"95","77","Said they used European SNPs but clearly using all ancestry SNPs - though 1 is missing which isn't discussed","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Variance explaine from GWAS presented, 2.7%","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","case/control","OR","1.4",NA,"95","0.91","2.15","0.13",NA,NA,"Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,164
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European, PanC4 both","18+","both","3626","3632","3626","3632",NA,"case/control","European, PanC4","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"95","77","Said they used European SNPs but clearly using all ancestry SNPs - though 1 is missing which isn't discussed","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Variance explaine from GWAS presented, 2.7%","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","case/control","OR","1.25",NA,"95","0.94","1.66","0.12",NA,NA,"Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,165
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European male","18+","male","3861","4056","3861","4056",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"95","77","Said they used European SNPs but clearly using all ancestry SNPs - though 1 is missing which isn't discussed","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Variance explaine from GWAS presented, 2.7%","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","case/control","OR","1.35",NA,"95","1.02","1.78","0.04",NA,NA,"Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,166
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European female","18+","female","3252","3268","3252","3268",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"95","77","Said they used European SNPs but clearly using all ancestry SNPs - though 1 is missing which isn't discussed","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Variance explaine from GWAS presented, 2.7%","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","case/control","OR","1.34",NA,"95","0.98","1.82","0.06",NA,NA,"Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,167
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European both","18+","both","7110","7264","7110","7264",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"28","77","Said they used European SNPs but clearly using all ancestry SNPs - only included SNPs that clustered in Neuronal developmental processes","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","Not discussed",NA,NA,NA,NA,"Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Bonferroni correction for 157 tests (tests included for other phenotypes such as height) = 3.2x10-4","SD","case/control","OR","1.17",NA,"95","0.77","1.77","0.47","Bonferroni for 157 tests","3.2x10-4","Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,174
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European both","18+","both","7110","7264","7110","7264",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"11","77","Said they used European SNPs but clearly using all ancestry SNPs - only included SNPs that clustered in Hypothalamic expression and regulatory function","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","Not discussed",NA,NA,NA,NA,"Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Bonferroni correction for 157 tests (tests included for other phenotypes such as height) = 3.2x10-4","SD","case/control","OR","1.27",NA,"95","0.81","1.98","0.31","Bonferroni for 157 tests","3.2x10-4","Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,175
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European both","18+","both","7110","7264","7110","7264",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"11","77","Said they used European SNPs but clearly using all ancestry SNPs - only included SNPs that clustered in Neuronal Expression","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","Not discussed",NA,NA,NA,NA,"Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Bonferroni correction for 157 tests (tests included for other phenotypes such as height) = 3.2x10-4","SD","case/control","OR","1.41",NA,"95","0.72","2.76","0.32","Bonferroni for 157 tests","3.2x10-4","Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,176
22,"no","yes","The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",2017,"Journal of the National Cancer Institute","10.1093/jnci/djx012","Carreras-Torres","Paul Brennan","gep@iarc.fr","Section of Genetics, International Agency for Research on Cancer (IARC), Lyon, France","Effect of body mass index on cancer","Risk factors for pancreatic cancer include a cluster of metabolic conditions such as obesity, hypertension, dyslipidemia, insulin resistance, and type 2 diabetes. Given that these risk factors are correlated, separating out causal from confounded effects is challenging.","Two-sample summary-level","pancreatic cancer","pancreatic cancer","cancer","Defined in individual GWASs","Carreeras-Torres 2017 Pancreatic cancer European both","18+","both","7110","7264","7110","7264",NA,"case/control","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","Not discussed","322154",NA,"Healthy","European",NA,NA,"Auhors state GWAS independence threshold. Do not do formal test.","Not discussed","5x10-8","Replaced with proxies or removed","Allowed for ambiguos strans but not discussed for other SNPs","Not discussed",NA,NA,"10","77","Said they used European SNPs but clearly using all ancestry SNPs - only included SNPs that clustered in Lipid biosynthesis and metabolism","Yes","Power calculations on MR analyses were performed according to Burgess","Likelihood based method","Not discussed",NA,NA,NA,NA,"Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Bonferroni correction for 157 tests (tests included for other phenotypes such as height) = 3.2x10-4","SD","case/control","OR","1.31",NA,"95","0.59","2.89","0.51","Bonferroni for 157 tests","3.2x10-4","Underpowered for WHR. Deviations from the MR assumptions would bias results to the null. Effects may not be reflective of the extremes of exposure distributions. ","MR Egger and weighted median did not show evidence of pleiotropy. Neither did funnel plots.","Not discussed","Not discussed, but sia dthey were underpowered for WHR",NA,177
