"ID","biorxiv","published","title","year","journal","doi","author","author_name","author_email","author_address","hypothesis","rationale","MR_design","outcome","outcome_info","outcome_group","outcome_definition","outcome_study","outcome_age_range","outcome_sex","outcome_n_case_current","outcome_n_control_current","outcome_n_case_og","outcome_n_control_og","outcome_n_difference_reason","outcome_health_status","outcome_population","exposure","exposure_definition","exposure_study","exposure_age","exposure_sex","exposure_n_current","exposure_n_og","exposure_n_difference_reason","exposure_health_status","exposure_population","exposure_covariates_model","exposure_genotyping_dataset","exposure_independence","exposure_pleiotropy","exposure_pvalue","exposure_palindrome","exposure_proxy","exposure_HWE","IV_single","IV_multiple","IV_GRS","n_SNP_og","n_SNP_difference_reason","power_calculation","power_calculation_how","MR_method","MR_sensitivity_method1","MR_sensitivity_method2","MR_sensitivity_method3","MR_sensitivity_method4","MR_sensitivity_method5","MR_sensitivity_method_results","IV_strength","analysis_software","analysis_programme","replication_independent","replication_subsetting","multiple_testing","exposure_units","outcome_units","effect_estimate","estimate","se","ci_percent","ci_lower","ci_upper","p","adjustment_method","p_adjusted","limitations_overall","limitations_pleiotropy","limitations_population_stratification","limitations_statistical_power","notes","ID_analysis"
35,"no","yes","Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes and Type 2 Diabetes: A Mendelian Randomization Analysis",2017,"Circulation","10.1161/CIRCULATIONAHA.116.026560","Dale","Caroline E Dale","ku.ca.lcu@elad.c","Farr Institute of Health Informatics Research, UCL Institute of Health Informatics, University College London, 222 Euston Road, London, NW1 2DA, United Kingdom","Effect of body mass index and waist hip ratio adjusted for body mass idnex on cardiometabolic traits","Implications of different adiposity measures on cardiovascular disease aetiology remain unclear","one-sample meta-analysis","HDL","HDL","metabolic","Defined in individual GWASs","Current study","63.5 (mean)","both","213556",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Locke 2015 BMI All ancestries both",NA,NA,"339224","339224",NA,"Healthy","European (Individuals of non-European ancestry were removed to minimise confounding by population structure.)","Not discussed","Defined in individual cohorts","Not discussed","Linear and logistic models with confounders","5×10−8","Not discussed","LD R2 > 0.8","Yes",NA,"97",NA,"97",NA,"Yes","Power to detect causal estimates was calculated based on the proportion of variance of the exposure explained by the instruments (R2), the total number of individuals in the analysis, and the number of cases and controls using the online tool http://cnsgenomics.com/shiny/mRnd/32.","Inverse variance weighted (fixed effects)","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","R2 1.7%","Stata version 14","mrrobust","Not discussed","Not discussed","Correction for two exposures P < 0.025","SD","SD","Mean difference","-0.22",NA,"95","-0.28999999999999998","-0.14000000000000001","1E-3","None",NA,"Limitations include the potential pleiotropic effects of the multi-SNP instruments. However, results suggest little evidence for unbalanced pleiotropy","With multi-SNP instruments, there is a chance that pleiotropic effects might become balanced such that causal inference regarding the exposure is possible. In this study we perform MR analyses of BMI and WHR together with recently developed methods that are robust to horizontal pleiotropy under additional assumptions. We therefore employ MR-Egger regression to provide a test for unbalanced pleiotropy and a causal estimate of exposure on outcome in its presence10, 11. In addition we use the weighted median estimator which can give valid estimates even in the presence of horizontal pleiotropy provided at least 50 per cent of the information in the analysis comes from variants that are valid instruments, and has the advantage of retaining greater precision in the estimates compared to MR-Egger12.","Not discussed",NA,"Performed MVMR as sensitivity: We found some evidence for association of both adiposity instruments with smoking, but not with other major confounders (Supplemental Table 16). To account for this, sensitivity analyses were undertaken for each cardiometabolic disease using multivariate MR including the effect of each SNP used as instrument for BMI and WHRadjBMI on smoking. MR estimates were found to be robust to this adjustment",589
48,"no","yes","The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis",2013,"PLOS Medicine","10.1371/journal.pmed.1001474","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","Effect of body mass index on cardiometabolic traits","The association between adiposity and cardiometabolic traits is well known from epidemiological studies. Whilst the causal relationship is clear for some of these traits, for others it is not.","one-sample meta-analysis","HDL","HDL","metabolic","Not discussed","Current study","18+","Both","132782",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Current study","18+","Both","132782",NA,NA,"Healthy","European","Age, Sex","Whenever rs9939609 was not genotyped directly, we used either (i) the HapMap II CEU (European) reference panel–imputed genetic information from genome-wide association studies (http://hapmap.ncbi.nlm.nih.gov/downloads/genotypes/2008-10_phaseII/) for rs9939609 (n = 5) or (ii) genotype information from a predefined list of proxies that are in high linkage disequilibrium (LD) with rs9939609 (n = 10, r2>0.9; Table S3)",NA,"Not discussed","Not discussed",NA,"R2 > 0.9","p>0.0001","FTO (rs9939609)",NA,NA,NA,NA,"No",NA,"Inverse variance weighted (multiplicative random effects)","Not discussed",NA,NA,NA,NA,"Observational estimates were similar","Not discussed","Varied by cohort but  at least one cohort used PLINK, R, SPSS, STATA","Not discussed","Not discussed","Not discussed","No","kg/m2","mmol/l","beta","-1.7999999999999999E-2",NA,"95","-2.5999999999999999E-2","-8.9999999999999993E-3","3.9x10-5","None",NA,"The limitations of our study are tied to the validity of the assumptions underlying causal interpretation within MR studies.","the precise mechanism of the FTO polymorphisms is still unclear, and potential pleiotropy cannot completely be ruled out","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely","Post hoc power calculation showed that for the binary traits with non-significant IVs (CHD, ischemic stroke, and all-cause stroke), we had an 80% chance of detecting an IV estimator odds ratio (OR) of 1.08–1.09/BMI unit or higher, and a 95% chance of detecting an OR of 1.13–1.15/BMI unit or higher.",NA,758
49,"no","yes","Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors",2015,"Diabetes","10.2337/db14-0988","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","The objective of the current study was to use a Mendelian
randomization design to assess whether adiposity causally
affects known cardiovascular risk factors at a similar magnitude
in men and women and before and after 55 years
of age.","Observational studies have reported different effects of
adiposity on cardiovascular risk factors across age and
sex. Since cardiovascular risk factors are enriched in
obese individuals, it has not been easy to dissect the
effects of adiposity from those of other risk factors.","one-sample meta-analysis","HDL","HDL","metabolic","Varied by cohort: circulating lipid fraction (only in individuals not receiving lipid-lowering medication)","Current study","<55","Both","32977",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Speliotes 2010 BMI Europeans both","<55","both","32977","249796","One sample where they took exposure SNPs from other GWAS","Healthy","European","Sex","Directly genotyped, not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Yes, directly genotyped proxy SNPs from a predefined list of variants that are in high linkage disequilibrium (LD) with lead SNPs were used","p>0.0001",NA,NA,"32","32",NA,"No",NA,"Inverse variance weighted (fixed effects)","Not discussed",NA,NA,NA,NA,NA,"F-statistic = 484","R 3.0.0","rmeta for random effect meta-analysis, unclear for calculating estimates","Not discussed","Not discussed","Benjamini and Hochberg (24) procedure implemented in the STATA multproc procedure to correct the level of significance to a 5% false discovery rate (FDR).","SD","SD","beta","−0.36",NA,"95","-0.47","-0.25","3.4×10−10","5% FDR","2.1999999999999999E-2","The limitations are mainly related to the validity of the assumptions underlying causal interpretation within Mendelian randomization studies","Possible violations of the first and the third assumptions include population stratification, pleiotropic effects, canalization, epigenetic effects, and the presence of genes associated with confounders and outcomes in LD with the genetic variants used.","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely.","No formal analysis, but they do qualitatively talk about the power, e.g.: ""The sample sizes in IV analyses varied with phenotype and strata from 2,077 individuals (age ,55 years, 2-h post-OGTT glucose levels) to 67,553 individuals (nonstratified analysis, systolic blood pressure), yielding larger SEs in the smaller groups, and lower statistical power to detect causal effects and differences between strata.""","Also present results straitified by age and sex",774
49,"no","yes","Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors",2015,"Diabetes","10.2337/db14-0988","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","The objective of the current study was to use a Mendelian
randomization design to assess whether adiposity causally
affects known cardiovascular risk factors at a similar magnitude
in men and women and before and after 55 years
of age.","Observational studies have reported different effects of
adiposity on cardiovascular risk factors across age and
sex. Since cardiovascular risk factors are enriched in
obese individuals, it has not been easy to dissect the
effects of adiposity from those of other risk factors.","one-sample meta-analysis","HDL","HDL","metabolic","Varied by cohort: circulating lipid fraction (only in individuals not receiving lipid-lowering medication)","Current study",">55","Both","26425",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Speliotes 2010 BMI Europeans both",">55","both","26425","249796","One sample where they took exposure SNPs from other GWAS","Healthy","European","Sex","Directly genotyped, not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Yes, directly genotyped proxy SNPs from a predefined list of variants that are in high linkage disequilibrium (LD) with lead SNPs were used","p>0.0001",NA,NA,"32","32",NA,"No",NA,"Inverse variance weighted (fixed effects)","Not discussed",NA,NA,NA,NA,NA,"F-statistic = 484","R 3.0.0","rmeta for random effect meta-analysis, unclear for calculating estimates","Not discussed","Not discussed","Benjamini and Hochberg (24) procedure implemented in the STATA multproc procedure to correct the level of significance to a 5% false discovery rate (FDR).","SD","SD","beta","−0.28",NA,"95","-0.4","-0.17","0.97","5% FDR","2.1999999999999999E-2","The limitations are mainly related to the validity of the assumptions underlying causal interpretation within Mendelian randomization studies","Possible violations of the first and the third assumptions include population stratification, pleiotropic effects, canalization, epigenetic effects, and the presence of genes associated with confounders and outcomes in LD with the genetic variants used.","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely.","No formal analysis, but they do qualitatively talk about the power, e.g.: ""The sample sizes in IV analyses varied with phenotype and strata from 2,077 individuals (age ,55 years, 2-h post-OGTT glucose levels) to 67,553 individuals (nonstratified analysis, systolic blood pressure), yielding larger SEs in the smaller groups, and lower statistical power to detect causal effects and differences between strata.""","Also present results straitified by age and sex",788
49,"no","yes","Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors",2015,"Diabetes","10.2337/db14-0988","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","The objective of the current study was to use a Mendelian
randomization design to assess whether adiposity causally
affects known cardiovascular risk factors at a similar magnitude
in men and women and before and after 55 years
of age.","Observational studies have reported different effects of
adiposity on cardiovascular risk factors across age and
sex. Since cardiovascular risk factors are enriched in
obese individuals, it has not been easy to dissect the
effects of adiposity from those of other risk factors.","one-sample meta-analysis","HDL","HDL","metabolic","Varied by cohort: circulating lipid fraction (only in individuals not receiving lipid-lowering medication)","Current study","18+","Women","31201",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Speliotes 2010 BMI Europeans both","18+","both","31201","249796","One sample where they took exposure SNPs from other GWAS","Healthy","European","Age","Directly genotyped, not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Yes, directly genotyped proxy SNPs from a predefined list of variants that are in high linkage disequilibrium (LD) with lead SNPs were used","p>0.0001",NA,NA,"32","32",NA,"No",NA,"Inverse variance weighted (fixed effects)","Not discussed",NA,NA,NA,NA,NA,"F-statistic = 484","R 3.0.0","rmeta for random effect meta-analysis, unclear for calculating estimates","Not discussed","Not discussed","Benjamini and Hochberg (24) procedure implemented in the STATA multproc procedure to correct the level of significance to a 5% false discovery rate (FDR).","SD","SD","beta","−0.34",NA,"95","-0.45","-0.23","7.9×10−10","5% FDR","2.1999999999999999E-2","The limitations are mainly related to the validity of the assumptions underlying causal interpretation within Mendelian randomization studies","Possible violations of the first and the third assumptions include population stratification, pleiotropic effects, canalization, epigenetic effects, and the presence of genes associated with confounders and outcomes in LD with the genetic variants used.","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely.","No formal analysis, but they do qualitatively talk about the power, e.g.: ""The sample sizes in IV analyses varied with phenotype and strata from 2,077 individuals (age ,55 years, 2-h post-OGTT glucose levels) to 67,553 individuals (nonstratified analysis, systolic blood pressure), yielding larger SEs in the smaller groups, and lower statistical power to detect causal effects and differences between strata.""","Also present results straitified by age and sex",802
49,"no","yes","Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors",2015,"Diabetes","10.2337/db14-0988","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","The objective of the current study was to use a Mendelian
randomization design to assess whether adiposity causally
affects known cardiovascular risk factors at a similar magnitude
in men and women and before and after 55 years
of age.","Observational studies have reported different effects of
adiposity on cardiovascular risk factors across age and
sex. Since cardiovascular risk factors are enriched in
obese individuals, it has not been easy to dissect the
effects of adiposity from those of other risk factors.","one-sample meta-analysis","HDL","HDL","metabolic","Varied by cohort: circulating lipid fraction (only in individuals not receiving lipid-lowering medication)","Current study","18+","Men","27146",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Speliotes 2010 BMI Europeans both","18+","both","27146","249796","One sample where they took exposure SNPs from other GWAS","Healthy","European","Age","Directly genotyped, not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Yes, directly genotyped proxy SNPs from a predefined list of variants that are in high linkage disequilibrium (LD) with lead SNPs were used","p>0.0001",NA,NA,"32","32",NA,"No",NA,"Inverse variance weighted (fixed effects)","Not discussed",NA,NA,NA,NA,NA,"F-statistic = 484","R 3.0.0","rmeta for random effect meta-analysis, unclear for calculating estimates","Not discussed","Not discussed","We used the Benjamini and Hochberg (24) procedure implemented in the STATA multproc procedure to correct the level of significance to a 5% false discovery rate (FDR).","SD","SD","beta","−0.31",NA,"95","-0.46","-0.16","4.0×10−5","5% FDR","2.1999999999999999E-2","The limitations are mainly related to the validity of the assumptions underlying causal interpretation within Mendelian randomization studies","Possible violations of the first and the third assumptions include population stratification, pleiotropic effects, canalization, epigenetic effects, and the presence of genes associated with confounders and outcomes in LD with the genetic variants used.","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely.","No formal analysis, but they do qualitatively talk about the power, e.g.: ""The sample sizes in IV analyses varied with phenotype and strata from 2,077 individuals (age ,55 years, 2-h post-OGTT glucose levels) to 67,553 individuals (nonstratified analysis, systolic blood pressure), yielding larger SEs in the smaller groups, and lower statistical power to detect causal effects and differences between strata.""","Also present results straitified by age and sex",816
49,"no","yes","Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors",2015,"Diabetes","10.2337/db14-0988","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","The objective of the current study was to use a Mendelian
randomization design to assess whether adiposity causally
affects known cardiovascular risk factors at a similar magnitude
in men and women and before and after 55 years
of age.","Observational studies have reported different effects of
adiposity on cardiovascular risk factors across age and
sex. Since cardiovascular risk factors are enriched in
obese individuals, it has not been easy to dissect the
effects of adiposity from those of other risk factors.","one-sample meta-analysis","HDL","HDL","metabolic","Varied by cohort: circulating lipid fraction (only in individuals not receiving lipid-lowering medication)","Current study","18+","Both","58387",NA,NA,NA,NA,"Healthy","European","BMI","BMI","Speliotes 2010 BMI Europeans both","18+","both","58387","249796","One sample where they took exposure SNPs from other GWAS","Healthy","European","Age, Sex","Directly genotyped, not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Yes, directly genotyped proxy SNPs from a predefined list of variants that are in high linkage disequilibrium (LD) with lead SNPs were used","p>0.0001",NA,NA,"32","32",NA,"No",NA,"Inverse variance weighted (fixed effects)","Not discussed",NA,NA,NA,NA,NA,"F-statistic = 484","R 3.0.0","rmeta for random effect meta-analysis, unclear for calculating estimates","Not discussed","Not discussed","We used the Benjamini and Hochberg (24) procedure implemented in the STATA multproc procedure to correct the level of significance to a 5% false discovery rate (FDR).","SD","SD","beta","20.329999999999998",NA,"95","20.420000000000002","20.239999999999998","1.1x10-12","5% FDR","2.1999999999999999E-2","The limitations are mainly related to the validity of the assumptions underlying causal interpretation within Mendelian randomization studies","Possible violations of the first and the third assumptions include population stratification, pleiotropic effects, canalization, epigenetic effects, and the presence of genes associated with confounders and outcomes in LD with the genetic variants used.","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely.","No formal analysis, but they do qualitatively talk about the power, e.g.: ""The sample sizes in IV analyses varied with phenotype and strata from 2,077 individuals (age ,55 years, 2-h post-OGTT glucose levels) to 67,553 individuals (nonstratified analysis, systolic blood pressure), yielding larger SEs in the smaller groups, and lower statistical power to detect causal effects and differences between strata.""","Also present results straitified by age and sex",830
52,"no","yes","Childhood BMI and Adult Type 2 Diabetes, Coronary Artery Diseases, Chronic Kidney Disease, and Cardiometabolic Traits: A Mendelian Randomization Analysis",2018,"Diabetes Care","10.2337/dc17-2141","Geng","Tao Huang","huangtao@bjmu.edu.cn","Epidemiology Domain, Saw Swee Hock School of Public Health, National University of Singapore, Singapore","Effect of childhood body mass index on adult cardiometabolic traits","Compelling observational studies have documented that higher BMI during childhood is associated with an increased risk of cardiometabolic morbidities such as coronary artery disease (CAD), type 2 diabetes, hypertension, and dyslipidemia in adult life (4–6), as well as the adult levels of insulin, lipids, and systolic blood pressure (7). However, both socioeconomic status and unmeasured lifestyle factors might confound these observational associations. Therefore, the causality of these observations remains unclear.
Identifying a potentially causal effect of childhood obesity on later life disease development could help guide prevention efforts.","Two-sample summary-level","HDL","HDL","metabolic","Directly measured or estimated","Willer 2013 LDL All ancestry both","18+","both","188578",NA,"188578",NA,NA,"Healthy","All ancestry","BMI","childhood","Felix 2016 BMI, childhood European both","3-10","both","35668","35668",NA,"Healthy","European","Not discussed","Not discussed","R2 >= 0.05 (We assessed correlation linkage disequilibrium (LD) between the 15 childhood BMI SNPs and sentinel SNPs associated with all outcomes. . . When the correlation coefficient between SNPs was high (r2 >= 0.05), we discarded the SNP with the larger P value)","Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,NA,"15","15",NA,"Not discussed",NA,"Inverse variance weighted","Simple median","Weighted median","MR Egger",NA,NA,"Consistent with main analysis","No direct assessment, but they do say ""The MR-Egger regression test was used to evaluate the directional pleiotropy and investigate the null causal hypothesis under the InSIDE (Instrument Strength Independent of Direct Effect) assumption""","Stata version 13;R version 3.2.3","Not discussed","Not discussed","Not discussed","Not discussed","SD (decrease)","SD","beta","-0.13800000000000001",NA,"95","-0.20699999999999999","-6.9000000000000006E-2","9.3x10-9","None",NA,"we assumed that the associations between childhood BMI and all outcomes are linear. possible that our findings reflect a shared genetic basis between childhood BMI and cardiometabolic diseases rather than a causal relationship. genetic variants influencing childhood BMI may also influence adult BMI; therefore, it is difficult to specify when these effects happen. there would be some overlap between the genetic variants related to childhood BMI versus adult BMI. Although adult BMI is not strictly a confounder, 12 of the 15 SNPs for childhood BMI are also reported signals for adulthood. Further investigations on the timing of the exposure are warranted. Finally, we cannot directly assess whether population stratification and other potential confounders may be influencing our results; residual and unmeasured confounding might remain.","The MREgger regression showed that the estimated intercept term was centered at the origin with a CI including the null, suggesting that our results were not being influenced by pleiotropy","we cannot directly assess whether population stratification may influence our results","The large sample size allowed us to assess the consistency of associations across different methods and to gain sufficient power for reliable estimation of causal effects.",NA,933
65,"no","yes","Causal Effects of Body Mass Index
on Cardiometabolic Traits and Events: A Mendelian Randomization Analysis",2014,"The American Journal of Human Genetics","10.1016/j.ajhg.2013.12.014","Holmes","Michael V. Holmes,","michael.holmes@uphs.upenn.edu","Division of Transplantation, Department of Surgery, Perelman School of Medicine, University of Pennsylvania, 3400 Spruce Street, Philadelphia, PA 19104, USA; Genetic Epidemiology Group, Institute of Cardiovascular Science, Faculty of Population Health Sciences, University College London, 1–19 Torrington Place, London WC1E 6BT, UK","Effect of BMI on cardiometabolic traits and events","Elevated body mass index associates with cardiometabolic traits on observational analysis, yet the underlying causal relationships remain unclear.","One-sample","HDL","HDL","metabolic","Defined in individual cohorts","Current study","18+","both","24943",NA,NA,NA,NA,"Healthy","Manually fill","BMI","BMI","Guo 2013 BMI All ancestries both","18+","both","24943","108912","One-sample where they got exposure SNPs from external GWAS","Healthy","European","Not discussed","Not discussed","Not discussed","We also investigated the association between the GS and the traditional confounders age, gender, and smoking status.","2.4x10-6","Not discussed","Not discussed","Not discussed",NA,NA,"14","11","Not discussed","Not discussed",NA,"Two-stage-least-squares","Not discussed",NA,NA,NA,NA,"Sensitivity analysis for pleiotropic effects - but not frmal method, rather SNP lists and associations tested","F statistic (>10); r2 (0.8%)","STATA","ivreg","Not discussed","Not discussed","Not discussed","kg/m2","mmol/l","beta","-0.02",NA,"95","-0.03","-0.01",NA,NA,NA,"Our instrumental variable (causal) analysis made the assumption of a linear relationship14 between BMI and cardiometabolic traits and events. This is at odds with some published observa- tional studies","In support of our data is the concordance between our Mendelian randomized estimates for all traits (including CHD) and the clinical-trial randomized estimates from the LOOK AHEAD trial.
SNPs specific to refined adiposity phenotypes. Studies
included in this analysis contributed to the original dis-
covery analysis,23 and thus use of overlapping studies for
discovery and Mendelian randomization analysis could
theoretically result in model overfitting. Our instrumental
variable (causal) analysis made the assumption of a linear
relationship14 between BMI and cardiometabolic traits
and events. This is at odds with some published observa-
4
intervention on risk of T2D.
When we compared the estimates from the instru-
the Look AHEAD trial","We restricted our analysis to individuals of European ancestry to avoid confounding by population admixture.","not discussed",NA,1170
97,"no","yes","MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization",2015,"Scientific Reports","10.1038/srep16645","Millard","Louise Millard","louise.millard@bristol.ac.uk","MRC Integrative Epidemiology Unit (IEU) at the University of Bristol, University of Bristol, Bristol","Effect of body mass index using MR-PheWAS in ALSPAC","Observational cohort studies can provide rich datasets with a diverse range of phenotypic variables. However, hypothesis-driven epidemiological analyses by definition only test particular hypotheses chosen by researchers.","MR-PheWAS","HDL","HDL","metabolic","ALSPAC outcomes defined by the datasets described in Supplementary Table 2 of the paper","Current study","8 years","both","3382",NA,"3382",NA,NA,"Healthy","Europeans","BMI","BMI","Speliotes 2010 BMI Europeans both","14-108","both","Not reported","249796","Not discussed","Healthy","Europeans","age, age squared and sex","Not discussed","Not discussed","Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,NA,"32","32",NA,"Not discussed",NA,"Two-stage-least-squares",NA,NA,NA,NA,NA,NA,"Not discussed","Stata version 11.2","ivregress","Not discussed","Not discussed","Bonferonni","SD log BMI","SD change","beta","-0.46600000000000003",NA,"95","-0.66","-0.27","<0.001","Bonferonni adjusted for 160 tests. They say that outcomes in validation sets aren't included","<0.001","The validity of our results depends on whether the instrumental variable assumptions hold, such that the genetic variants only affect the outcomes through BMI (the exposure). We ensured our BMI allele score was a strong instrument for BMI, and was not associated with common confounding variables such as sex and potential socio-economic confounders such as household social class. In contrast, BMI at age 8 was associated with confounders consistent with the social patterning reported previously45-47. The allele score was composed of 32 BMI-associated genetic variants. While a larger number of SNPs increases the power to detect associations, this also means that the third instrumental variable assumption may be more likely to be invalid for at least one genetic variant included in the allele score. A number of mechanisms could invalidate the third instrumental variable assumption: that the genetic variants only affect the outcomes through BMI at age 8. These include genetic induced confounding through horizontal  leiotropy (where a locus affects several outcomes directly9), population stratification and linkage disequilibrium, each of which could add a causal path from the IV to an outcome which was not mediated via BMI.","The effect estimates when using two independent instruments (FTO and the remaining 31 variants) were consistent providing evidence against pleiotropy because it is unlikely that two independent instruments suffer the same pleiotropic effects. Furthermore, the IV estimates using the 52-SNP allele score were consistent with the IV estimates of our 32-SNP score. However, we found evidence of heterogeneity when testing the 32 SNPs individually using Hansen tests, for 5 of the 21 ‘top’ results. This may indicate either the core or point identifying IV assumptions are invalid.","In the methods the authors say that they performed EIGENSTRAT analysis which ""revealed no additional obvious population stratification"" and that they restricted analysis to individuals of white European ethnic origin to reduce the potential for population stratification","Any biases introduced by violations of these assumptions may be amplified due to the low power of the individual SNPs. This is because these weak instruments account for only a small proportion of the variance of BMI, such that their effect through BMI is small compared with the strength of the association through one of these alternative pathways13. Further tests to investigate heterogeneity could be performed in follow up analyses.","The authors performed an MR-PheWAS so technically their first analysis was the direct G-O association. They do not present all of these results, only those that reach their specific p-value thresholds corrected for multiple testing. They then run an IV analysis and again only present those that reach a certain threshold. I've presented these results.",1449
